OperatorName,num_disclosures,year,avg_water_consum
EXTRACTION OIL & GAS LLC,102,2018,8308954.637254902
Eagle Energy Acquisitions LP,2,2013,1460069.0
"Eagle Exploration Production, LLC",2,2015,5784228.0
Eagle Oil & Gas co.,2,2013,472476.0
Eagle Road Oil LLC,1,2017,506351.0
"EagleRidge Energy, LLC",6,2013,6621889.433333334
"Earthstone Operating, LLC",29,2018,15596412.827586208
Eastok Energy Partners LLC,1,2019,1452.0
"Eclipse Resources I, LP",23,2014,19443212.56521739
"EdgeMarc Energy Holdings, LLC",7,2014,10908782.142857144
El Toro Resources LLC,3,2017,7713337.666666667
"Element Petro Operating II, LLC",7,2014,6865096.142857143
"Element Petroleum OP III,LLC",2,2018,6981460.0
Elephant Oil and Gas,1,2019,8973974.0
"Elevation Resources, LLC",13,2024,7385527.230769231
Elk River Resources,1,2018,36105660.0
"Ellis Exploration, Inc.",1,2015,148831.0
Elm Ridge Exploration Co LLC,4,2014,46000.75
Emerald Oil Inc,7,2014,9329295.714285715
Emerald Oil LLC,1,2017,15372.0
"Empresa Operating, LLC",4,2021,12716455.0
"EnCore Permian Operating, LLC",1,2021,15559824.0
Encana Oil & Gas (USA) Inc.,211,2018,6954534.544153239
Endeavor Energy Resources,180,2019,15547084.656555554
"Endeavor Natural Gas, LP",10,2021,3881822.8
Endeavour Operating Corp,1,2014,6929916.0
Endurance Resources LLC,1,2016,18368869.0
Enduring Resources LLC,18,2024,8870161.222222222
"EnerVest, Ltd.",112,2013,2036575.98125
Energen Resources Corporation,116,2013,7005639.25
"Energy & Exploration Partners Operating, LP",7,2014,2199889.0597142857
Energy Corporation of America,13,2011,5217203.615384615
Energy Management Co.,1,2014,7771.0
"EnergyQuest II, LLC",1,2016,54415.0
Enerplus Resources (USA) Corporation,45,2024,6911123.355555556
Ensign Operating LLC,13,2019,14644896.0
"Epic Permian Operating, LLC",1,2023,60186.0
Equinor Texas Onshore Properties LLC,6,2019,14133197.0
Equinor USA Onshore Properties Inc.,4,2024,22248715.5
"Escondido Resources II, LLC",5,2012,4016802.6
Escondido Resources Oper Co,11,2019,11871313.0
"Estancia Oil & Gas, LLC",2,2012,25016.5
Evergreen Natural Resources LLC,11,2022,53217.818181818184
"ExL Petroleum, LP",7,2017,7592386.714285715
"ExTech Operating, LLC",1,2022,124180.0
Excalibur Reserouces,1,2021,69326.0
Expand Operating LLC,17,2025,29306305.0
Extex Operating Company,4,2013,74609.0
"FDL Operating, LLC",4,2016,3399362.25
"FELIX ENERGY HOLDINGS II, LLC",17,2020,18731856.247058824
FELIX ENERGY LLC,5,2015,13513909.6
FHA Operating,1,2017,18606.0
"FIML Natural Resources, LLC",18,2013,2872121.722222222
"FLAMINGO OPERATING, LLC",2,2015,1635145.5
FORMENTERA OPERATIONS LLC,4,2024,15099750.5
FOUR CORNERS PETROLEUM,3,2019,822665.3333333334
"FX ENERGY OPERATING, LLC",1,2025,13198.0
Fairway Resources Op. LLC,2,2013,2074842.0
"Fairway Resources Operating III, LLC",1,2017,13850550.0
"Far West Development, LLC",1,2019,314654.0
"Fasken Oil and Ranch, Ltd.",72,2013,7228402.826882649
Faulconer Energy,1,2025,177633.0
Felderhoff Production Co,1,2024,14330.0
"Felty Drilling Co., Inc.",1,2025,9494.0
Fidelity Exploration & Production,11,2013,1746236.4545454546
"Fidgets Energy, LLC",1,2014,31500.0
"Finley Resources, Inc.",35,2022,1550514.5685714285
FireBird Energy II LLC,14,2024,21739374.35714286
"FireWheel Operating, LLC",2,2014,5519398.5
Firebird Energy,5,2022,20126240.4
"First Ascent Operating, LLC",1,2021,17679.0
Fivestones Energy LLC,3,2020,924394.6666666666
Flat Creek Resources LLC,1,2022,8856036.0
"Fontainebleau Operating, LLC",1,2022,89865.0
"Foreland Operating, LLC",8,2014,13351003.75
Forest Oil Corporation,15,2013,3414410.6
"Forge Energy, LLC",9,2015,7404241.555555556
"Fortay, Inc.",1,2015,134780.0
Forty Acres Energy LLC,1,2018,30828.0
"Forza Operating, LLC",2,2022,677754.5
"Fossil Petroleum, LLC",2,2019,296815.0
"Foundation Energy Management, LLC",3,2021,31965.333333333332
"Founders Oil & Gas Operating, LLC",6,2020,735771.3333333334
"Four Corners Petroleum II, LLC",9,2018,82767.11111111111
FourPoint Energy,22,2015,7117711.2727272725
"FourPoint Energy, LLC",13,2022,13550330.76923077
FourPoint Resources LLC,3,2025,23523025.333333332
Fox Northeastern Oil & Gas Corporation,1,2016,16296.0
Franklin Mountain Energy,16,2024,21769758.4375
"Freedom Operating Company, LLC",2,2026,803999.0
"Freedom Production, Inc.",3,2017,9825170.333333334
Freeport-McMoRan Oil & Gas,8,2013,4384020.125
Fulcrum Energy Operating LLC,3,2024,16724189.333333334
"Fulcrum Exploration, LLC.",9,2013,10938.666666666666
"Fundare Resources Operating Company, LLC",1,2023,13617466.0
"Fuse Energy, LLC",2,2015,4908283.5
"G&F Oil, Inc.",1,2024,39144.0
"G3 Operating, LLC.",16,2013,5783111.125
"GEP HAYNESVILLE II, LLC",10,2025,43357860.0
"GEP HAYNESVILLE, LLC",13,2017,25727790.292307694
"GHA Barnett, LLC",8,2023,6900316.0
"GLB Exploration, Inc.",14,2017,253557.2857142857
GMT EXPLORATION,2,2023,20263292.0
"GULF EXPLORATION, L.L.C.",4,2019,23544.75
"Gaedeke Oil & Gas Operating, LLC",1,2018,11455767.0
Ganador Operaing LLC,3,2022,895505.6666666666
"Garry Davis Oil, LLC",2,2014,385119.0
"Gary Permian, LLC",1,2019,35527128.0
"Gasco Energy, Inc.",2,2014,2584243.5
Gastar Exploration Inc.,4,2017,14441325.05
GeoSouthern Energy Corporation,3,2012,4487708.666666667
"GeoSouthern Operating II, LLC",5,2018,11843961.2
"GeoSurveys, Inc.",1,2014,18060.0
"Goodrich Petroleum Company, LLC",12,2013,12662197.583333334
Gordy Oil Company,6,2020,17904622.166666668
Grand Mesa Operating Company,1,2020,65562.0
"Grand Operating, Inc.",1,2018,3847158.0
"Grayson Mill Operating, LLC",19,2024,10966423.894736841
Great Bear Pantheon LLC,1,2022,219668.0
Great Bear Petroleum Operating LLC,1,2019,65558.0
"Great Western Oil & Gas Company, LLC",61,2014,7301901.229508197
"Green Century Exploration & Production, LLC",4,2015,49619.0
Greenlake Energy Operating,7,2022,21979448.57142857
Greg Hall Oil and Gas,1,2014,21000.0
Grenadier Energy Partners II,3,2019,21780864.0
Greylock Production LLC,2,2023,8639631.0
Greystone Oil & Gas LLP,2,2015,1713915.0
"Grit Oil and Gas Management, LLC",24,2025,6982588.833336641
Grynberg Petroleum,2,2014,176545.0
Guidon Energy Management Services LLC,10,2020,18328843.8
Gulf Pine Energy,1,2017,79212.0
"GulfTex Energy III, LP",2,2018,6083192.5
"GulfTex Energy, LLC",10,2025,15347453.90002149
Gulfport Energy Corporation,57,2021,16497816.862807017
Gunn Oil Company,3,2013,572354.0
Gunnison Energy LLC,2,2024,15386969.0
"H&L Exploration Company, LLC",1,2023,144060.0
H.L. Brown Operating,1,2022,28519.0
HB2 Eneregy,3,2022,20585964.0
HOG OPERATING LLC,2,2022,8521305.5
"HRC Operating, LLC.",10,2013,5915271.4
"HW Operating, LLC",2,2017,31509.5
HWH DRILLING LLC,3,2025,12484.0
"Hadaway Consulting and Engineering, LLC",18,2013,2541010.222222222
"Halc?n Operating Co., Inc.",1,2017,23617205.0
Halcon Resources Corporation,20,2013,5965451.0
"Hannathon Petroleum II, LLC",1,2025,21217591.0
"Hannathon Petroleum, LLC",15,2013,5282243.2
Harmonia Petroleum Corporation,4,2015,747243.0
"Hawkwood Energy Operating, LLC",19,2019,14357668.157894736
"Headington Energy Partners, LLC",13,2019,5888345.692307692
Heights Energy Corporation,1,2015,22407.0
Helios Operating LLC,1,2019,2690703.0
"Helis Oil & Gas Company, L.L.C.",1,2012,2376584.0
Henry Resources LLC,36,2013,6750620.277777778
Hess Corporation,206,2020,5459097.01818638
Hibernia Resources IV LLC,3,2025,38551942.666666664
"Hibernia Resources, LLC",13,2022,28309145.307692308
HighMount Exploration & Production,9,2012,1108104.6666666667
"HighPeak Energy Holdings, LLC.",40,2022,21402483.225
HighPoint Operating Corporation,13,2019,13587288.948133763
"Hilcorp Alaska, LLC",8,2025,75176.375
Hilcorp Energy Company,80,2022,2596614.83875
"Hinkle Oil & Gas, Inc.",21,2015,5766576.095238095
"Hogback Exploration, Inc",3,2018,50869.333333333336
"Holmes Exploration, LLC",5,2013,1846336.6
Hominy Consulting LLC,1,2025,1274574.0
Hunt Oil Company,69,2015,6661396.072463769
"Huntington Energy, L.L.C.",2,2013,909049.0
Huntley &amp; Huntley Energy Exploration,1,2019,15383466.0
"Husky Ventures, Inc.",5,2014,10498101.6
"ICA Energy Operating, LLC",3,2018,1698190.0
"IKE Operating, LLC",6,2025,41823247.333333336
INEOS USA Oil & Gas LLC,1,2024,31007088.0
"INPEX Eagle Ford, LLC",8,2022,7980897.125
"INR Operating, LLC",5,2022,20867288.4
ImPetro Operating LLC,2,2014,8139443.0
Incline Energy,2,2013,156219.0
"Independence Resources Management, LLC.",6,2020,7113433.666666667
Indigo Minerals,34,2019,16793236.411764707
Infinity Natural Resources,2,2025,21346030.5
Inflection Energy (PA) LLC,4,2021,6020124.0
International Energy Corporation of Northern Oklahoma,3,2015,538967.0
Interstate Explorations LLC,6,2014,176756.33333333334
"Iron Star Energy, LLC",1,2014,3015042.0
"Ironwood Oil and Gas, LLC",2,2013,6275318.5
J CLEO THOMPSON,21,2015,1655279.7157905933
J-W Operating Company,1,2015,9331812.0
"JAMEX, Inc.",3,2014,3423799.3333333335
"JEC Operating, LLC",1,2017,806400.0
JKLM ENERGY,3,2019,11221338.666666666
JMA ENERGY COMPANY,5,2022,3890033.6
"JMH Production, LLC",6,2017,109486.5
Jagged Peak Energy,14,2019,20747665.42857143
Javelin Energy Partners Management LLC,26,2024,21382560.115384616
"Jay-Bee Oil & Gas, Inc.",6,2018,13035372.0
Jerry Hess Operating Company,2,2025,22595.0
"Jetta Operating Company, Inc",20,2022,3588480.05
"Jilpetco, Inc.",2,2012,40894.0
Jimmy Chatham Oil & Gas,1,2014,54093.0
Johnson & Ernst Operating Co.,2,2012,7140.0
Joint Resource Company,2,2018,1937032.5
Jonah Energy LLC,31,2018,1423544.7096774194
Jones Energy llc,32,2013,4421224.8125
"Juno Operating Company II, LLC",19,2013,23413.052631578947
"Juno Operating Company III, LLC",7,2019,50298.857142857145
"K S OIL COMPANY, INC",1,2017,38000.0
K.P. Kauffman Company,3,2014,234977.33333333334
"KA Energy Op Co., LLC",1,2017,13045.0
KGH Operating Company,1,2016,118977.0
"KJ Energy, LLC",2,2018,7795061.5
"KODA Resources Operating, LLC",6,2025,18583717.404
KWR Ventures,1,2015,397320.0
Kaiser-Francis Oil Company,16,2022,15752720.625
Kelly Cook Oil LLC,1,2022,34020.0
"Kenneth W. Cory, Ltd.",1,2025,381612.0
Kentex Worland LLC,1,2023,199401.0
"Killam Oil Co., Ltd.",6,2023,4885606.666666667
"Kimmeridge Texas Gas, LLC",11,2024,20146903.818181816
Kinder Morgan,10,2014,61038.7
King Operating Corporation,4,2023,1704422.0
Kirkpatrick Oil Company,1,2013,3432554.0
"Kirkpatrick Oil Company, Inc",1,2022,2680104.0
Koda Operating,3,2023,38882.666666666664
Kodiak Oil & Gas Corp,29,2013,3340704.275862069
"Kodiak Oil & Gas, Inc.",13,2014,49227.307692307695
Kraken Operating LLC,52,2019,11578890.779390033
"L.E. Jones Operating, Inc.",5,2023,27300.2
LADD OIL & GAS CORPORATION,1,2013,39610.0
LCS Production Company,9,2022,1166543.0
"LINCOLN VENTURES, LLC",1,2025,39631.0
"LOGOS Operating, LLC",5,2023,20825146.880400002
"LP Operating, LLC",2,2013,104685.0
