OperatorName,num_disclosures
"Vanguard Operating, LLC",1
"Vanguard Natural Resources, LLC",1
Van Operating,1
Valley Petrol Consulting Inc,1
Utah Gas Corporation,1
Upland Exploration LLC,1
"Truevine Operating, LLC",1
"Trinity River Energy Operating, LLC",1
Trinity Gas Storage,1
"Trilogy Operating, Inc.",1
"Triad Energy, Inc.",1
"Tri-C Resources, LLC",1
Trendwell Energy Corp,1
"Trek Resources, Inc.",1
Trans Pacific Oil Corp.,1
Toklan Oil and Gas Corporation,1
"Titan Exploration, LLC",1
Timber Creek Operating,1
"Thunder Oil & Gas, LLC",1
Throne Petroleum,1
Three Rivers Operating Co III LLC,1
"The Cumming Company, Inc.",1
"Texakoma E&P, LLC",1
Templar Operating LLC,1
Tellurian Operating LLC,1
Tekton Energy,1
Tecpetrol Operating LLC,1
Tacitus LLC,1
TXON Partners LLC,1
"THE EDMAR COMPANY, LLC",1
Superior Production LLC,1
Sunshine Valley Petroleum Corp,1
SunRay Operating Co. Inc.,1
Summit Discovery Res II LLC,1
"Stroud Petroleum, Inc.",1
"Strand Energy, L.C.",1
"Story Oil & Gas, Inc.",1
"Stone Oak Operating, LLC",1
"Star Point Enterprises, Inc.",1
Special Energy Corporation,1
"Southwest Resources, Inc.",1
Southwest Operating,1
Sooner Oil and Gas Mgt Inc,1
"Solaris Water Midstream, LLC",1
Smith Production,1
Silver Tusk Operating Co. LLC,1
"Silver Creek Permian OP CO, LLC",1
Siena Natural Resources,1
"Shenandoah Resources, LLC",1
ShadowPeak Operating LLC,1
"Sequel Energy, LLC",1
"Sellers Lease Service, Inc",1
Scala Energy Operating LLC,1
Saddleback Exploration,1
"Sabalo Exploration Operating,LLC",1
SWJN Oil Company,1
SIMCOE LLC,1
SGP Operating LLC,1
"SDX Resources, Inc.",1
"SCO Permian, LLC",1
"Ruckus Energy Operating, LLC",1
Rockcliff Energy Operating III LLC,1
Rock Oil Company,1
"Robert L. Bayless, Producer LLC",1
"Riviera Operating, LLC",1
"Riverside Midstream Water Resources, LLC",1
"Rising Star Energy Partners, L.L.C.",1
"Rio Grande E&P II, LLC",1
"Riley Exploration, LLC",1
"Reynolds E & P, Inc",1
Reverence Operating LLC,1
"Replay Energy Assets, LLC",1
Relentless Permian Operating LLC,1
Reign Operating LLC,1
"Reid Williams Operating, Inc.",1
"Redland Resources, Inc.",1
"Redemption Oil & Gas, LLC",1
Red Wolf Operating,1
Red Tail Exploration,1
"Ray Richey Managment Company, Inc.",1
"Raw Oil & Gas, Inc.",1
Ranger  O&G,1
Ramtex Energy LLC,1
"Ram Fayette, LLC",1
Rainbow Seven Oil and Gas,1
"ROX Exploration, Inc.",1
"RLU Operating, LLC",1
"RKI Energy Resources, LLC",1
RANKEN ENERGY CORPORATION,1
"R. Baker Oil, LLC",1
"Quail Ridge Operating, LLC",1
"Q P, Inc.",1
"Pursuit Oil & Gas, LLC",1
Prospect,1
Premier Oil & Gas Incorporated,1
Prairie Gas Company of Oklahoma,1
Pollok Energy,1
"Polaris Operating, LLC",1
Pinon Operating LLC,1
"Petron Energy II, Inc.",1
PetroShare Corp,1
"PetroPoint Energy Operating, LLC.",1
"PetroEdge Energy IV, LLC",1
Periscope Operating LLC,1
